"Number_of_groups",16
"Number of predators",12
"Prey/Pred",Zooplancton,Benthos,Insects,Cyphocharax_magdalenae,Megaleporinus_muyscorum,Pseudoplatystoma_magdaleniatum,Sorubim_cuspicaudus,Triportheus_magdalenae,Prochilodus_magdalenae,Otros_detritívoros,Otros_carnívoros-insectivoros,Otros_omnívoros
Zooplancton,-999,-999,-999,-999,2,-999,-999,2,-999,-999,-999,2
Benthos,-999,-999,-999,2,2,2,2,2,2,2,2,2
Insects,-999,-999,-999,-999,2,-999,2,2,-999,2,2,2
Cyphocharax_magdalenae,-999,-999,-999,-999,-999,2,2,-999,-999,-999,-999,-999
Megaleporinus_muyscorum,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pseudoplatystoma_magdaleniatum,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sorubim_cuspicaudus,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Triportheus_magdalenae,-999,-999,-999,-999,-999,2,2,-999,-999,-999,-999,-999
Prochilodus_magdalenae,-999,-999,-999,-999,-999,2,2,-999,-999,-999,-999,-999
Otros_detritívoros,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Otros_carnívoros-insectivoros,-999,-999,-999,-999,-999,2,2,-999,-999,-999,-999,-999
Otros_omnívoros,-999,-999,-999,-999,-999,2,2,-999,-999,-999,-999,-999
Periphyton,-999,2,-999,2,2,-999,-999,-999,2,2,-999,-999
Fitoplancton,2,-999,-999,2,2,2,2,2,2,2,-999,2
Macrofitas,-999,-999,2,-999,-999,-999,-999,-999,-999,2,2,-999
Detritus,2,2,2,2,2,2,2,-999,2,2,2,2
